Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(945.984375, 894.9296875),2025-02-21 22:02:51
Mouse,(Move),Moved,(855.79296875, 931.00390625),2025-02-21 22:02:51
Mouse,(Move),Moved,(773.84375, 956.43359375),2025-02-21 22:02:51
Mouse,(Move),Moved,(689.06640625, 976.2109375),2025-02-21 22:02:51
Mouse,(Move),Moved,(614.9765625, 981.98046875),2025-02-21 22:02:51
Mouse,(Move),Moved,(586.58203125, 981.98046875),2025-02-21 22:02:51
Mouse,(Move),Moved,(527.140625, 981.98046875),2025-02-21 22:02:51
Mouse,(Move),Moved,(424.94140625, 978.8828125),2025-02-21 22:02:51
Mouse,(Move),Moved,(374.59375, 955.99609375),2025-02-21 22:02:51
Mouse,(Move),Moved,(324.6640625, 922.70703125),2025-02-21 22:02:51
Mouse,(Move),Moved,(275.32421875, 878.30078125),2025-02-21 22:02:51
Mouse,(Move),Moved,(192.2578125, 777.92578125),2025-02-21 22:02:51
Mouse,(Move),Moved,(141.1484375, 693.74609375),2025-02-21 22:02:51
Mouse,(Move),Moved,(98.5234375, 585.55078125),2025-02-21 22:02:51
Mouse,(Move),Moved,(64.82421875, 467.60546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(47.515625, 339.54296875),2025-02-21 22:02:51
Mouse,(Move),Moved,(40.41015625, 204.54296875),2025-02-21 22:02:51
Mouse,(Move),Moved,(40.41015625, 158.1015625),2025-02-21 22:02:51
Mouse,(Move),Moved,(49.69921875, 55.90234375),2025-02-21 22:02:51
Mouse,(Move),Moved,(72.3046875, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(89.00390625, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(118.75390625, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(180.76953125, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(221.21484375, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(263.68359375, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(310.12109375, 0),2025-02-21 22:02:51
Mouse,(Move),Moved,(360.7109375, 10.99609375),2025-02-21 22:02:51
Mouse,(Move),Moved,(413.015625, 41.90234375),2025-02-21 22:02:51
Mouse,(Move),Moved,(462.3515625, 83.8359375),2025-02-21 22:02:51
Mouse,(Move),Moved,(509.21875, 130.703125),2025-02-21 22:02:51
Mouse,(Move),Moved,(550.1171875, 186.94140625),2025-02-21 22:02:51
Mouse,(Move),Moved,(561.19140625, 210.6796875),2025-02-21 22:02:51
Mouse,(Move),Moved,(580.984375, 259.0703125),2025-02-21 22:02:51
Mouse,(Move),Moved,(593.6484375, 305.5078125),2025-02-21 22:02:51
Mouse,(Move),Moved,(595.7578125, 351.9453125),2025-02-21 22:02:51
Mouse,(Move),Moved,(595.7578125, 426.03125),2025-02-21 22:02:51
Mouse,(Move),Moved,(584.15234375, 464.7109375),2025-02-21 22:02:51
Mouse,(Move),Moved,(555.5546875, 506.5),2025-02-21 22:02:51
Mouse,(Move),Moved,(516.6484375, 547.69140625),2025-02-21 22:02:51
Mouse,(Move),Moved,(475.453125, 584.3046875),2025-02-21 22:02:51
Mouse,(Move),Moved,(453.296875, 598.546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(409.3046875, 624.94140625),2025-02-21 22:02:51
Mouse,(Move),Moved,(358.95703125, 647.82421875),2025-02-21 22:02:51
Mouse,(Move),Moved,(318.5078125, 661.98046875),2025-02-21 22:02:51
Mouse,(Move),Moved,(303.69921875, 663.2109375),2025-02-21 22:02:51
Mouse,(Move),Moved,(248.7734375, 670.07421875),2025-02-21 22:02:51
Mouse,(Move),Moved,(226.34375, 670.07421875),2025-02-21 22:02:51
Mouse,(Move),Moved,(211.8125, 660.82421875),2025-02-21 22:02:51
Mouse,(Move),Moved,(193.3515625, 629.44140625),2025-02-21 22:02:51
Mouse,(Move),Moved,(193.3515625, 555.3515625),2025-02-21 22:02:51
Mouse,(Move),Moved,(204.29296875, 476.01171875),2025-02-21 22:02:51
Mouse,(Move),Moved,(256.73046875, 386.5546875),2025-02-21 22:02:51
Mouse,(Move),Moved,(337.6015625, 292.19921875),2025-02-21 22:02:51
Mouse,(Move),Moved,(437.93359375, 209.16015625),2025-02-21 22:02:51
Mouse,(Move),Moved,(545.765625, 148.50390625),2025-02-21 22:02:51
Mouse,(Move),Moved,(666.90234375, 103.5078125),2025-02-21 22:02:51
Mouse,(Move),Moved,(794.9609375, 82.73828125),2025-02-21 22:02:51
